z500,t850,h700,t2m,u10,u850
693.092722942199,3.5088536195187188,0.0017204162991635997,4.960817432861132,4.34889857048807,6.087468524368134
835.4192213282877,3.817736763341915,0.001952145081103178,5.426378677198072,4.806807755442699,6.896076880753434
909.9224885367763,3.989682022969989,0.0020938319347110204,5.413269130838243,5.061748768603243,7.277925984964513
973.753220811605,4.080405777795984,0.002165238878333607,5.570690179563437,5.2306650651838185,7.609800097344487
1014.9862751223685,4.290499826662787,0.0022427648857774184,5.688721990415747,5.28879885901163,7.754659707596095
1072.5402807206667,4.350222273662436,0.002294262475057111,5.705368210563274,5.414313351386028,7.915644165167302
1126.474432113861,4.4773523703641365,0.0022776998612276107,5.667278991339748,5.4762900284018015,8.056101339887235
1179.502415139047,4.577774476724786,0.0022662751605230015,5.718673711085676,5.594082332364008,8.313688552274318
1230.5781363396466,4.714466548945444,0.0023005492216202723,5.836624588265299,5.5849349168296225,8.388093007237831
1245.5571802534655,4.91493672225989,0.0023377077177028764,5.972187285383584,5.629231542386224,8.374575893874445
1294.413441754656,5.087762129895219,0.002323122889903582,6.0706434321944185,5.709839013117242,8.413235251057385
1352.3330529185678,5.279213545265726,0.002326181996605437,6.215992973447386,5.805978629610713,8.592995963335714
1399.2108199360782,5.469826558462702,0.0023285790860953877,6.14494023931681,5.827968672130232,8.560944682402337
1438.2032660871428,5.732916883016711,0.002312790824986265,6.467474000461477,5.836359423142831,8.629598837880339
1465.3687391858125,5.912827744816757,0.0023258919787500884,6.434854041948578,5.74471152623599,8.536084000581244
1509.0332631652468,6.154519319293865,0.002322372944262188,6.555281208723836,5.773539433308619,8.687129533331856
1537.2673464775612,6.325234328613852,0.0022981407609694916,6.728648853453834,5.822234421741008,8.722243510805376
1569.4064176291733,6.5304991280088895,0.0023023064641808887,6.828206901991625,5.869343979602482,8.744069576350368
1608.2960731154963,6.776359617717473,0.0022784979517238824,6.984931865930636,5.845095566701437,8.740619038511579
1637.0486345512809,7.078529507062024,0.0022972040644444916,7.181361264824467,5.869317784067693,8.79248069266336
1680.3439327889314,7.384461718391705,0.002260784576004174,7.523909548343691,5.860081384833373,8.794406515742754
