z500,t850,h700,t2m,u10,u850
40,0.7,0,1.00,0.90,0
45,0.75,0,1.05,0.95,0
55,0.8,0,1.08,1.00,0
60,0.85,0,1.10,1.08,0
70,0.9,0,1.12,1.15,0
80,0.95,0,1.15,1.20,0
95,1.0,0,1.18,1.28,0
105,1.05,0,1.20,1.35,0
120,1.15,0,1.22,1.45,0
135,1.20,0,1.20,1.55,0
150,1.25,0,1.25,1.65,0
170,1.35,0,1.30,1.78,0
190,1.40,0,1.32,1.90,0
210,1.50,0,1.38,2.00,0
235,1.60,0,1.45,2.10,0
255,1.65,0,1.50,2.20,0
280,1.75,0,1.52,2.30,0
305,1.85,0,1.60,2.45,0
330,1.95,0,1.68,2.60,0
355,2.05,0,1.75,2.70,0
380,2.15,0,1.80,2.85,0
